Canal,Uso recomendado,URL
Instagram Bio,Link fijo del perfil,https://landing.entirenutricion.net/selector
Instagram Stories,Historias con sticker de enlace,https://landing.entirenutricion.net/?utm_source=instagram&utm_medium=stories&utm_campaign=entire_selector
Instagram Reels,Texto/link de campana desde reels,https://landing.entirenutricion.net/?utm_source=instagram&utm_medium=reels&utm_campaign=entire_selector
Facebook organico,Posts de la pagina,https://landing.entirenutricion.net/?utm_source=facebook&utm_medium=organic&utm_campaign=entire_selector
WhatsApp estado,Estados de WhatsApp,https://landing.entirenutricion.net/?utm_source=whatsapp&utm_medium=status&utm_campaign=entire_selector
WhatsApp mensaje,Mensaje directo o grupos,https://landing.entirenutricion.net/?utm_source=whatsapp&utm_medium=message&utm_campaign=entire_selector
Email Brevo,Campanas de correo,https://landing.entirenutricion.net/?utm_source=brevo&utm_medium=email&utm_campaign=entire_selector
Google Ads busqueda,Anuncios de busqueda,https://landing.entirenutricion.net/?utm_source=google&utm_medium=cpc&utm_campaign=entire_selector_search
Meta Ads trafico,Campanas de trafico o conversiones,https://landing.entirenutricion.net/?utm_source=meta&utm_medium=paid_social&utm_campaign=entire_selector
Entire Master,Campana adultos 40+,https://landing.entirenutricion.net/?utm_source=meta&utm_medium=paid_social&utm_campaign=entire_master_40plus
Entire Zero,Campana control de azucar,https://landing.entirenutricion.net/?utm_source=meta&utm_medium=paid_social&utm_campaign=entire_zero_sin_azucar
Entire Proteina,Campana actividad fisica,https://landing.entirenutricion.net/?utm_source=meta&utm_medium=paid_social&utm_campaign=entire_proteina_activos
Entire Kido,Campana nutricion infantil,https://landing.entirenutricion.net/?utm_source=meta&utm_medium=paid_social&utm_campaign=entire_kido_ninos
Entire Full,Campana nutricion diaria,https://landing.entirenutricion.net/?utm_source=meta&utm_medium=paid_social&utm_campaign=entire_full_diario
